;;;;;;;;;;;;
2017;11.32%;7.28%;5.18%;7.77%;1.57%;10.80%;5.31%;29.64%;5.80%;10.64%;100 %;
;1 ODS;4 ČSSD;7 STAN;8 KSČM;12 Svobodní;15 Piráti;20 TOP 09;21 ANO;24 KDU-ČSL;29 SPD;Platné hlasy celkem;
Hlavní město Praha;99182;34079;30920;28158;12857;107590;77325;124445;29143;35547;611450;
Středočeský kraj;85415;43853;53368;47695;10679;79815;41843;189371;19925;59497;660619;
Jihočeský kraj;38232;23035;14435;29414;5303;33143;16713;91012;16983;31062;315319;
Plzeňský kraj;32833;21643;13180;23502;4138;27201;13095;84114;9499;28686;271510;
Karlovarský kraj;10796;8530;6453;9960;1544;12264;4495;43268;2885;15233;122142;
Ústecký kraj ;32197;22464;12299;33628;4595;28004;12336;127574;6127;42777;339686;
Liberecký kraj;21468;11811;26780;13981;3152;23859;8825;62302;4297;22878;208817;
Královéhradecký kraj;32242;18128;14184;19792;4310;29932;14308;88551;16294;28038;278720;
Pardubický kraj;28313;19294;12855;20002;3998;27146;10864;79551;17599;26202;258169;
Kraj Vysočina;25989;24631;11251;24829;3565;26086;10163;75247;24295;25237;262764;
Jihomoravský kraj;69319;49248;21222;46966;10421;53207;26356;159909;52346;67973;583442;
Olomoucký kraj;27266;22760;13580;26853;3963;25955;9903;95950;25257;41397;305639;
Zlínský kraj ;28752;20454;17168;20669;4812;24859;8443;84750;33631;38020;294679;
Moravskoslezský kraj;40944;48417;14462;47651;5892;47332;14142;194069;35362;76027;547789;
CelkemČR ;572948;368347;262157;393100;79229;546393;268811;1500113;293643;538574;5060745;
  ;;;;;;;;;;;;
  ;;;;;;;;;;;;
  ;;;;;;;;;;;;
  ;;;;;;;;;;;;
2013;20.46%;2.47%;2.66%;12.00%;7.73%;6.78%;1.51%;6.89%;18.66%;14.91%;3.20%;100.00%
 ;1 ČSSD;2 Svobodní;3 Piráti;4 TOP 09;6 ODS;11 KDU-ČSL;15 SPOZ;17 Úsvit;20 ANO 2011;21 KSČM;23 SZ;Platné hlasy celkem
Celkem ČR ;1016829;122564;132417;596357;384174;336970;75113;342339;927240;741044;159025;4969984
Hlavní město Praha;82668;21915;21327;135100;70378;32051;5427;18758;96564;49975;37888;586509
Středočeský kraj;115756;16880;17369;91926;55594;25473;6881;39714;125984;90478;23246;627492
Jihočeský kraj;64535;7229;7382;39760;25166;20749;3267;22023;52810;51193;7667;311171
Plzeňský kraj;57057;5970;8415;29696;28036;12781;2519;14673;48808;41529;6033;263425
Karlovarský kraj;26185;2393;3893;12374;8255;4126;1585;10225;26157;20520;2802;122673
Ústecký kraj ;70233;7418;7869;28746;21130;7520;5136;25845;71986;68758;9082;338082
Liberecký kraj;34195;4899;6713;30867;14087;6108;2743;16145;43727;29132;5146;202451
Královéhradecký kraj;50870;7303;6744;35360;19933;18610;3065;22132;55548;38564;7873;273891
Pardubický kraj;52499;5962;6843;27643;18167;19693;5321;17523;50677;37378;6473;255603
Kraj Vysočina;60313;5332;6175;23769;17912;27643;4804;17938;41662;44197;6818;262032
Jihomoravský kraj;131684;14868;14110;56224;40255;58928;9714;37258;99509;82414;18780;573857
Olomoucký kraj;67751;5910;6744;23609;18407;24210;4719;27032;59808;51922;7097;304844
Zlínský kraj ;57281;7035;5884;27225;16722;39047;7815;30056;54089;38099;6912;295334
Moravskoslezský kraj;145802;9450;12949;34058;30132;40031;12117;43017;99911;96885;13208;552620
  ;;;;;;;;;;;;
  ;;;;;;;;;;;;
  ;;;;;;;;;;;;
2010;10.88%;11.27%;22.09%;4.33%;16.71%;4.39%;2.44%;3.67%;20.22%;100.00%;;
 ;4 VV;6 KSČM;9 ČSSD;13 SPOZ;15 TOP 09;17 KDU-ČSL;20 SZ;21 Suveren.;26 ODS;Platné hlasy celkem;;
Celkem ČR ;569127;589765;1155267;226527;873833;229717;127831;192145;1057792;5230859;;
Hlavní město Praha;65742;41647;96706;19851;173840;13837;30528;14599;158014;637328;;
Středočeský kraj;67601;69368;129368;23235;110865;12430;14656;27430;150465;630203;;
